"TypeID","StationID","Type","High","Low","Average"
205,60005686,"Buy",60,0.02,1.00427502710367
205,60005686,"Sell",189900,230,1646.9157051701
205,60006526,"Sell",430.7,430.7,430.7
205,60008494,"Buy",120,108,113.123634511705
205,60008494,"Sell",192.9,136.7,159.655877411488
205,60011866,"Buy",101.9,0.02,0.99468852596305
205,60011866,"Sell",300,274,279.283986666893
221,60003760,"Buy",10.6,1.34,8.33171699609479
221,60003760,"Sell",41,23.2,27.4045961595298
221,60004588,"Buy",2,0.02,0.0396554190454164
221,60004588,"Sell",25.95,25,25.8856699554817
221,60005686,"Buy",5.05,5.01,5.01292701729472
221,60005686,"Sell",189900,14.97,2550.06280719967
221,60008494,"Buy",1.12,1.08,1.11208814441373
221,60008494,"Sell",189900,14.48,504.894035420948
221,60011866,"Buy",8.16,1.04,5.99271157695842
221,60011866,"Sell",88.2,10.98,19.3254416357291
224,60001096,"Sell",44,44,44
224,60003760,"Buy",10.05,1.77,5.51982883042595
224,60003760,"Sell",189900,10.06,698.095480762078
224,60004588,"Buy",11,0.02,0.133830670203422
224,60004588,"Sell",189100,25.39,2177.77394957678
224,60005686,"Buy",5,5,5
224,60005686,"Sell",32.89,32.88,32.889620141204
224,60008494,"Buy",1.01,1,1.00009670865688
224,60008494,"Sell",228,16.5,54.3943706017038
224,60011866,"Buy",11.82,1.01,6.11207263588688
224,60011866,"Sell",100,19,24.7637862374962
225,60001096,"Sell",39,39,39
225,60003760,"Buy",25.45,22.44,25.039911237101
225,60003760,"Sell",127.7,74.38,116.845536105436
225,60004588,"Buy",12,0.02,0.209499126392386
225,60004588,"Sell",93.99,61.8,62.5080120983129
225,60005686,"Buy",6.02,6.02,6.02
225,60005686,"Sell",112.7,110,110.223313288096
225,60008494,"Buy",5.29,0.31,1.42979688146735
225,60008494,"Sell",49.9,28.5,32.7039541168096
225,60011866,"Buy",25.13,1.01,25.0473519159963
225,60011866,"Sell",79.99,71,75.4853467572485
228,60001096,"Sell",75,62.2,71.6450660779629
228,60003760,"Buy",32.01,3.75,30.7880821575162
228,60003760,"Sell",189900,99.83,801.974796914916
228,60004588,"Buy",10,0.02,0.113917781079742
228,60004588,"Sell",175,175,175
228,60005686,"Buy",30,30,30
228,60005686,"Sell",98.99,65,68.5649764431333
228,60008494,"Buy",17.1,1.04,1.70472442531061
228,60008494,"Sell",62.93,41,45.9058934137516
228,60011866,"Buy",22.08,1.01,21.7589306130124
228,60011866,"Sell",105,29.99,49.9163277748189
229,60003760,"Buy",31.72,30.16,30.2080396665853
229,60003760,"Sell",48970,69.93,118.430680483661
229,60004588,"Buy",10.02,0.02,0.113027402960233
229,60004588,"Sell",177,73,80.9247696037618
229,60005686,"Buy",5,5,5
229,60005686,"Sell",190,55.03,68.827727521721
229,60008494,"Buy",1.01,1,1.00008834412112
229,60008494,"Sell",45.99,40.92,40.9644383299159
229,60011866,"Buy",20.11,1.11,16.9623844518979
229,60011866,"Sell",108.5,55,80.4821118019203
230,60003760,"Buy",93.48,90.58,91.8371987256078
230,60003760,"Sell",250,119.2,135.545018302651
230,60004588,"Buy",11,0.02,0.11659717644052
230,60004588,"Sell",189900,96.5,1255.96268818489
230,60005686,"Buy",50.54,50.11,50.4769740703062
230,60005686,"Sell",198,109.5,143.532815136199
230,60008494,"Buy",58.04,3.11,50.4322206287945
